;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Nr. 1301000;;Datum:;Week 9 2015;;;;;Blusdekens;;
Adres:;Vliertwijksestraat 48, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Ingang werkplaats;Smeba;MF-60;Schuim;2013;;;a;;;
2;Zaakwerkplaats;Smeba;MF-60;Schuim;2013;;;a;;;
3;Magazijn achter TD;Smeba;BSH 20m;Water;2004;2014;30 l/min;a;;;
4;Magazijn naast TD;Smeba;MF-60;Schuim;2013;;;a;;;
5;Grote werkplaats;Smeba;MF-60;Schuim;2014;;;a;;;
6;Kringloopwinkel;Smeba;BSH 25m;Water;2009;2014;32 l/min;a;;;
7;Kringloopwinkel kantine;Ansul;BSH 20m;Water;2007;2014;32 l/min;a;;;
8;WC kringloop;Smeba;MF-60;Schuim;2014;;;a;;;
9;Ingang inkoop;Ansul;BSH 20m;Water;1980;2014;32 l/min;a;;;
10;Ketelhok buiten;Smeba;MF-60;Schuim;2014;;;a;;;
Voorraad TD (staan in TD ruimte onder werkbank);;;;;;;;a;;;
1;Ketelhok buiten;Smeba;MF-60;Schuim;2012;;;a;;;
2;Ketelhok buiten;Smeba;MF-60;Schuim;2012;;;a;;;
3;Ketelhok buiten;Smeba;MF-60;Schuim;2012;;;a;;;
4;Ketelhok buiten;Smeba;MF-60;Schuim;2013;;;a;;;
5;Ketelhok buiten;Smeba;MF-60;Schuim;2014;;;a;;;
6;Ketelhok buiten;Smeba;MF-60;Schuim;2012;;;a;;;
7;Ketelhok buiten;Smeba;MF-60;Schuim;2011;;;a;;;
Voorraad TD (staan in CV hok buiten);;;;;;;;a;;;
8;Ketelhok buiten;Smeba;MF-60;Schuim;2013;;;a;;;
9;Ketelhok buiten;Smeba;MF-60;Schuim;2013;;;a;;;
10;Ketelhok buiten;Smeba;MF-60;Schuim;2013;;;a;;;
11;Ketelhok buiten;Smeba;MF-60;Schuim;2011;;;a;;;
12;Ketelhok buiten;Smeba;MF-60;Schuim;2012;;;a;;;
13;Ketelhok buiten;Smeba;MF-60;Schuim;2011;;;a;;;
14;Ketelhok buiten;Smeba;MF-60;Schuim;2011;;;a;;;
15;Ketelhok buiten;Smeba;MC-5E;Co2;2011;;;a;;;
16;Ketelhok buiten;Smeba;MC-5E;Co2;2007;;;a;;;
17;Ketelhok buiten;Smeba;MF-60;Schuim;2010;;;a;;;
18;Ketelhok buiten;Smeba;MF-60;Schuim;2010;;;a;;;
19;Ketelhok buiten;Smeba;MF-60;Schuim;2010;;;a;;;
20;Ketelhok buiten;Smeba;MF-60;Schuim;2010;;;a;;;
21;Ketelhok buiten;Smeba;MF-60;Schuim;2010;;;a;;;
22;Ketelhok buiten;Smeba;MF-60;Schuim;2010;;;a;;;
23;Ketelhok buiten;Smeba;MF-60;Schuim;2010;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
