;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Hoofdgebouw nr. 1300100;;Datum:;Week 6 2015;;;;;Blusdekens;;
Adres:;Waterleidingstraat 2, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Hoofdgebouw CV hok;Smeba;MF-60;Schuim;2014;;;a;;;
2;Hoofdgebouw CV hok keuken;Smeba;MF-60;Schuim;2014;;;a;;;
3;Hoofdgebouw CV hok keuken;Smeba;MF-60;Schuim;2014;;;a;;;
4;Keuken;Smeba;MC5A;Co2;2008;;;a;;;
5;Keuken garderobe;Smeba;MF-60;Schuim;2010;;;a;Blusstof vervangen;;
6;Keuken garderobe;Smeba;MC5A;Co2;2008;;;a;;;
7;Restaurant;Smeba;MC5E;Co2;2006;;;a;;;
8;Restaurant;Saval;BSH 20m;Water;1991;2014;28 l/min;a;;;
9;Restaurant;;Blusdeken;;2015;;;a;;;
10;Receptie;Saval;MF-60;Schuim;2013;;;a;;;
11;Bij aquarium;Ajax;BSH 25 m;Water;2007;2014;28 l/min;a;;;
12;Gang bij 0.21;Smeba;BSH 25 m;Water;2007;2014;38 l/min;a;;;
13;Gang bij 0.33;Ajax;BSH 25 m;Water;2007;2014;32 l/min;a;;;
14;Gang bij wc;Smeba;BSH 25 m;Water;2004;2014;42 l/min;a;;;
15;Gang bij 0.52;Saval;BSH 20m;Water;1993;2014;28 l/min;a;;;
16;Gang bij lift 1e verdieping;Ajax;BSH 25 m;Water;2007;2014;28 l/min;a;;;
17;Gang bij trap 1e verdieping;Ajax;BSH 20m;Water;2007;2014;26 l/min;a;;;
18;Gang bij lift 2e verdieping;Smeba;BSH 25 m;Water;2007;2014;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
