;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Nr. 1305100;;Datum:;Week 7 2015;;;;;Blusdekens;;
Adres:;Zandoogpad + Waterkant, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Zandoogpad 5, 1e verdieping;Ajax;BSH 20m;Water;2012;;28 l/min;a;;;
2;Zandoogpad 5, keuken;Blusdeken;;;;;;;;;
3;Ketelhok;Smeba;MF-60;Schuim;2014;;;a;;;
4;Keuken rechts;Ajax;BSH 20m;Water;2012;;30 l/min;a;;;
5;Keuken op hoek;Blusdeken;;;;;;;;;
6;Gang bij 0.62;Ajax;BSH 20m;Water;2012;;32 l/min;a;;;
7;Gang keuken;Ajax;BSH 20m;Water;2012;;30 l/min;;;;
8;Keuken;Blusdeken;;;;;;;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
