;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Haaren;;Datum:;Week 10 2015;;;;;Blusdekens;;
Adres:;Akkerstraat 16-18;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang bij 0.61.18;Saval;BSH 20 m;Water;2011;2015;44 l/min;a;;;
2;Trappengat nr. 18;Saval;BSH 20 m;Water;1993;2012;42 l/min;a;;;
3;Gang voor 1e verdieping;Saval;BSH 20 m;Water;2011;2015;40 l/min;a;;;
4;Gang achter 1e verdieping;Saval;BSH 20 m;Water;2011;2015;40 l/min;a;;;
5;Bij trap achter 2e verdieping;Saval;BSH 20 m;Water;2011;2015;38 l/min;a;;;
6;Bij trap midden 2e verdieping;Saval;BSH 20 m;Water;2011;2015;40 l/min;a;;;
7;Trappengat nr. 16;Saval;BSH 20 m;Water;1993;2015;42 l/min;a;;;
8;Gang bij 0.61.16;Saval;BSH 20 m;Water;2011;2015;44 l/min;a;;;
9;Gang voor 1e verdieping;Saval;BSH 20 m;Water;2011;2015;42 l/min;a;;;
10;Gang achter 1e verdieping;Saval;BSH 20 m;Water;2011;2015;42 l/min;a;;;
11;Trap achter 2e verdieping;Saval;BSH 20 m;Water;2011;2015;38 l/min;a;;;
12;Trap midden 2e verdieping;Saval;BSH 20 m;Water;2011;2015;40 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
