;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Haaren;;Datum:;Week 10 2015;;;;;Blusdekens;;
Adres:;Bolakker 6 - 8;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang;Uro-Flame;BSH 30 m;Water;2011;;32 l/min;a;;;
2;Gang 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;;30 l/min;a;;;
3;Ketelhok 1e verdieping;Ajax;MC2;Kooldioxide;2011;;;a;;;
4;Gang;Uro-Flame;BSH 30 m;Water;2011;;32 l/min;a;;;
5;Gang 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;;30 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
