;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Haaren;;Datum:;Week 10 2015;;;;;Blusdekens;;
Adres:;Klaver 2;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Hal bij binnenkomst;Uro-Flame;BSH 30 m;Water;2011;2015;34 l/min ;a;;;
2;Restaurant;Uro-Flame;BSH 30 m;Water;2011;2015;32 l/min;a;;;
3;Ketelhok;Ajax;MC2;Kooldioxide;2011;2015;;a;;;
4;Lokaal bij keuken;Uro-Flame;BSH 30 m;Water;2011;2015;30 l/min;a;;;
5;Gang dagbesteding;Uro-Flame;BSH 30 m;Water;2011;2015;32 l/min;a;;;
6;Lokaal 2C 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;2015;30 l/min;a;;;
7;Gang spreekkamer 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;2015;28 l/min;a;;;
8;Gang flexplek 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;2015;28 l/min;a;;;
9;Ketelhok 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;2015;32 l/min;a;;;
;;;;;;;;;;;
Voorraad in kast naar ketelhok;;;;;;;;;;;
11;Ketelhok 1e vedieping;Smeba;MF-60;Schuim;2012;;;a;;;
12;Ketelhok 1e vedieping;Smeba;MF-60;Schuim;2010;;;a;;;
13;Ketelhok 1e vedieping;Smeba;MF-60;Schuim;2010;;;a;;;
14;Ketelhok 1e vedieping;Smeba;MF-60;Schuim;2010;;;a;;;
15;Ketelhok 1e vedieping;Smeba;MF-60;Schuim;2011;;;a;;;
Evt. Opmerking;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
