;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Haaren;;Datum:;Week 10 2015;;;;;Blusdekens;;
Adres:;Varen 10 en 12;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang;Uro-Flame;BSH 30 m;Water;2011;2015;36 l/min;a;;;
2;Gang;Uro-Flame;BSH 30 m;Water;2011;2015;36 l/min;a;;;
3;Ketelhok;Ajax;MC2;Kooldioxide;2011;;;a;;;
4;Gang 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;2015;32 l/min;a;;;
5;Gang bij washok;Uro-Flame;BSH 30 m;Water;2011;2015;36 l/min;a;;;
6;Gang 1e verdieping;Uro-Flame;BSH 30 m;Water;2011;2015;32 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
