;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;­;;Datum:;Week 13 2015;;;;;Blusdekens;;
Adres:;Eindhovenlaan 8, Den Bosch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang;Smeba;BSH 20m;Water;2013;2015;38 l/min;a;;;
2;Keuken;Smeba;MC-5A;CO2;2014;;;a;;;
3;Gang bij oker;Smeba;BSH 20m;Water;2007;2012;36 l/min;a;;;
4;Gang bij oker;Smeba;MF-60;Schuim;2010;;;a;;;
5;Gang bij sportzaal;Smeba;BSH 20m;Water;2001;2012;34 l/min;a;;;
6;Gang bij sportzaal;Smeba;MF-60;Schuim;2012;;;a;;;
7;Gang bij indigo;Smeba;BSH 20m;Water;2000;2012;34 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
