;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;­;;Datum:;Week 13 2015;;;;;Blusdekens;;
Adres:;Geert Grootestraat 35 & 37, Den Bosch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
Woning nr. 37;;;;;;;;;;;
1;Gang achter;Smeba;BSH 20m;Water;1998;2013;28 l/min;a;;;
2;Ketelhuis;Smeba;MF-60;Schuim;2013;;;a;;;
3;Overloop;Smeba;BSH 20m;Water;1998;2013;26 l/min;a;;;
4;Trappengat;Smeba;MF-60;Schuim;2013;;;a;;;
Woning nr. 35;;;;;;;;;;;
5;Gang achter;Smeba;BSH 20m;Water;1998;2013;28 l/min;a;;;
6;Keuken;Smeba;MF-60;Schuim;2013;;;a;;;
7;Keuken nr. 37;Blusdeken;;;;;;;;;
8;Overloop (2e verd.);Smeba;MF-60;Schuim;2013;;;a;;;
9;Ketelhuis (1e verd.);Smeba;MF-60;Schuim;2013;;;a;;;
10;Overloop gang (1e verd.);Smeba;BSH 20m;Water;1998;2013;26 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
