;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Losse locatie;;Datum:;Week 12 2015;;;;;Blusdekens;;
Adres:;Munsel 59 t/m 63, Boxtel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang nr. 63;Ajax;BSH 20m;Water;1994;2012;28 l/min;a;;;
2;Overloop nr. 63 1e verd.;Smeba;MF-60;Schuim;2012;;;a;;;
3;Keuken nr. 63;Blusdeken;;;;;;;;;
4;Keuken nr. 59;Blusdeken;;;;;;;;;
5;Gang nr. 59;Ajax;BSH 20m;Water;1994;2012;28 l/min;a;;;
6;Overloop nr. 59 1e verd.;Smeba;MF-60;Schuim;2012;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
