;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;­;;Datum:;Week 13 2015;;;;;Blusdekens;;
Adres:;Pomphoekweg 6, Den Bosch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Bij balie;Record;BSH 30m;Water;;2012;36 l/min;a;;;
2;Bij balie;Smeba;MF-60;Schuim;2012;;;a;;;
3;Links ingang;Smeba;MF-60;Schuim;2012;;;a;;;
4;Kantine;Smeba;BSH 25m;Water;2002;2012;36 l/min;a;;;
5;Kantine rechts;Smeba;MF-60;Schuim;2012;;;a;;;
6;Kantine links;Smeba;MF-60;Schuim;2012;;;a;;;
7;Magazijn;Record;BSH 30m;Water;;2012;30 l/min;a;;;
8;Keuken kantine;Blusdeken;;;;;;;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
