;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;­;;Datum:;Week 13 2015;;;;;Blusdekens;;
Adres:;Van der Eygenweg 1, Den Bosch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang;Saval;BSH 20m;Water;1998;2013;36 l/min;a;;;
2;Overloop 1e verd.;Smeba;MF-60;Schuim;2013;;;a;;;
3;Lokaal 'oog';Smeba;MF-60;Schuim;2013;;;a;;;
4;Keuken;Smeba;MC-5A;CO2;2008;;;a;;;
5;Keuken;Saval;BSH 20m;Water;1998;2013;34 l/min;a;;;
6;Keuken;Blusdeken;;;;;;;;;
7;Lokaal 0.36;Smeba;MF-60;Schuim;2013;;;a;;;
8;Achter deur bij vuur;Smeba;MF-60;Schuim;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
