;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;De Kernen;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Ophemert;;Datum:;mei 2015;;;;;Blusdekens;;
Adres:;Blankenburgsestraat;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Keuken;BCO;EWCS 6;Wet chemical;2015;;;a;;;
2;Materiaalhok;Ajax;BSH 30;Water;2012;;32 l/min;a;;;
3;Kleedkamers;Ajax;BSH 30;Water;2012;;28 l/min;a;;;
4;Kinderdagverblijf;Ajax;BSH 30;Water;2012;;32 l/min;a;;;
5;Zaal;Ajax;BSH 30;Water;2012;;32 l/min;a;;;
;Ingenomen blusser;Ajax;ES6N;Schuim;2013;;;a;;;
6;Technische ruimte;Ajax;ES6N;Schuim;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
