;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;De Kernen;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Kantoor;;Datum:;6-1-2015;;;;;Blusdekens;;
Adres:;Korenstraat 1 Hedel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Garage links;BCO;EFS6;Schuim;2013;;;a;;;
2;Garage buiten;Saval;PG9;Poeder;1997;;;a;;;
3;Keuken begane grond;Saval;B.S.H. 25m;Water;;2012;24 l/min;a;;;
4;Keuken begane grond;BCO;EFS6;Schuim;2013;;;a;;;
5;Gang bij toilet;BCO;EFS6;Schuim;2015;;;a;;;
6;Gang T.O. ketelhuis;BCO;EFS6;Schuim;2013;;;a;;;
7;Kantoor afdeling wonen;BCO;EFS6;Schuim;2015;;;a;;;
8;Gang begane grond bij trapje;Saval;B.S.H. 20m;Water;2005;2011;28 l/min;a;;;
9;Hal bij receptie;BCO;EFS6;Schuim;2015;;;a;;;
10;Trap 1e verdieping;BCO;EFS6;Schuim;2015;;;a;;;
11;1e verdieping kantine;Saval;B.S.H. 20m;Water;;;20 l/min;×;Lekt.;;
12;1e verdieping kantine;BCO;EFS6;Schuim;2015;;;a;;;
13;Bus Teun;Saval;C2G;Poeder;2011;;;a;;;
14;Bus Appie;Uro-Flame;EPS6;Poeder;2013;;;a;;;
15;Bus J.V.;Saval;C2G;Poeder;2011;;;a;;;
16;Bus Dirk;Saval;C2G;Poeder;2011;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
