;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;De Kernen;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Kasteellaan;;Datum:;6-1-2015;;;;;Blusdekens;;
Adres:;Kasteellaan 31-69 Hedel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Hal begane grond 31-49;BCO;EFS 6;Schuim;2015;;;a;;;
2;Hal 1e verdieping 31-49;BCO;EFS 6;Schuim;2015;;;a;;;
3;Hal 2e verdieping 31-49;BCO;EFS 6;Schuim;2015;;;a;;;
4;Hal 3e verdieping 31-49;BCO;EFS 6;Schuim;2015;;;a;;;
5;Hal begane grond 51-69;BCO;EFS 6;Schuim;2015;;;a;;;
6;Hal 1e verdieping 51-69;BCO;EFS 6;Schuim;2015;;;a;;;
7;Hal 2e verdieping 51-69;BCO;EFS 6;Schuim;2015;;;a;;;
8;Hal 3e verdieping 51-69;BCO;EFS 6;Schuim;2015;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
