;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;De Kernen;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Syndion;;Datum:;6-1-2015;;;;;Blusdekens;;
Adres:;Wielstraat 90-114, Beneden-Leeuwen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Naast lift begane grond;Ajax;B.S.H. 25 m;Water;2007;2013;36 l/min;a;;;
0-2;Bij nr. 96 begane grond;Ajax;B.S.H. 25 m;Water;2007;2013;36 l/min;a;;;
0-3;Bij ingang;Brandschoon;ECO AF 6;Schuim;2007;;;a;;;
0-4;Bij nr. 96 begane grond;Brandschoon;ECO AF 6;Schuim;2007;;;a;;;
0-5;Bij nr. 96 begane grond;Brandschoon;ECO AF 6;Schuim;2007;;;a;;;
1-1;Bij lift 1e verdieping;Ajax;B.S.H. 25 m;Water;2007;2013;32 l/min;a;;;
1-2;Bij nr. 108 1e verdieping;Ajax;B.S.H. 25 m;Water;2007;2013;32 l/min;a;;;
1-3;Bij huiskamer 1e verdieping;Brandschoon;ECO AF 6;Schuim;2007;;;a;;;
1-4;Bij nr. 108 1e verdieping;Brandschoon;ECO AF 6;Schuim;2007;;;a;;;
1-5;Bij nr. 112 1e verdieping;Brandschoon;ECO AF 6;Schuim;2007;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
