;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Hotel Arrows;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;-;;Datum:;Week 19, 2015;;;;;Blusdekens;;
Adres:;Sint Janstraat 14, Uden;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Linnenkamer;Gloria;2 kg BC;CO2;1998;;;;;;
2;Gang bij kamer 7;Smeba;2 kg BC;CO2;2013;;;;;;
3;Gang bij kamer 3;Ajax;BSH 20m;Water;;2015;26 l/min;;;;
4;Langs bar restaurant;Ajax;BSH 20m;Water;;2015;28 l/min;;;;
5;Langs bar restaurant;Smeba;2 kg BC;CO2;2013;;;;;;
6;Gang achter keuken;Smeba;5 kg BC;CO2;2010;;;;;;
7;Gang voor kantine;Gloria;2 kg BC;CO2;1998;;;;;;
8;Privé;Gloria;2 kg BC;CO2;1998;;;;;;
9;Wasmachines;Gloria;2 kg BC;CO2;1998;;;;;;
10;Kamer 35 (1e verd.);Ajax;BSH 20m;Water;;2015;24 l/min;;;;
11;Kamer 32 (1e verd.);Smeba;2 kg BC;CO2;2013;;;;;;
12;Kamer 27 (1e verd.);Smeba;2 kg BC;CO2;2013;;;;;;
13;Kamer 23 (1e verd.);Ajax;BSH 20m;Water;;2015;24 l/min;;;;
14;Kamer 47 (2e verd.);Gloria;2 kg BC;CO2;1998;;;;;;
15;Kamer 49 (2e verd.);Ajax;BSH 20m;Water;;2015;28 l/min;;;;
16;Kamer 43 (2e verd.);Gloria;2 kg BC;CO2;1998;;;;;;
17;Kamer 39 (2e verd.);Ajax;BSH 20m;Water;;2015;26 l/min;;;;
18;CV ruimte t/o kamer 45 (2e verd.);Smeba;5 kg BC;CO2;2013;;;;;;
19;In keuken;Blusdeken;;;;;;;;;
20;Bij zwembad;Smeba;2 kg BC;CO2;2007;;;;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
