;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;O.G. Helderingstichting;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Ambulatorium V1;;Datum:;Week 3 2015;;;;;Blusdekens;;
Adres:;Wageningsestraat 104, Zetten;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
V1-1;Ambulatorium;SMEBA;BSH 20 m;Water;2007;2013;36 l/min;a;;;
V1-2;Ambulatorium RVB V1;SMEBA;BSH 20 m;Water;2011;2013;36 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
