;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;O.G. Helderingstichting;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Gebouw ATC;;Datum:;Week 2 2015;;;;;Blusdekens;;
Adres:;Wageningsestraat 104, Zetten;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
ATC1;Gang B.G. ATC;Ajax;BSH 20 m;Water;2003;2013;36 l/min;a;;;
ATC 2;Gang B.G. ATC;Ajax;BSH 20 m;Water;2003;2013;36 l/min;a;;;
ATC 3;Gang 1e verdieping ATC;Ajax;BSH 20 m;Water;2003;2013;34 l/min;a;;;
ATC 4;Gang 1e verdieping ATC;Ajax;BSH 20 m;Water;2003;2013;34 l/min;a;;;
ATC-1a;Vergaderruimte begane grond;BCO;EFS 6;Schuim;2014;;;a;;;
ATC-3a;Keuken praktijk ruimte 1e verd;BCO;EFS 6;Schuim;2014;;;a;;;
ATC 6;Begane grond soos;BCO;EFS 6;Schuim;2014;;;a;;;
ATC 7;Ketelhuis 3e verd.;Ajax;BSH 20 m;Water;2003;2013;28 l/min;a;;;
ATC 5;Gang 2e verdieping ATC;Ajax;BSH 20 m;Water;2003;2013;30 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
