;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;O.G. Helderingstichting;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Gebouw Steeneek;;Datum:;Week 2 2015;;;;;Blusdekens;;
Adres:;Wageningsestraat 104, Zetten;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
R11-1;Havik begane grond;Saval;BSH 20 m;Water;1994;2013;32 l/min;a;;;
R11-2;Havik 1e verdieping;Saval;BSH 20 m;Water;1994;2013;30 l/min;a;;;
R13-1;Tussenstuk begane grond;Saval;BSH 20 m;Water;1994;2013;34 l/min;a;;;
R13-1a;Tussenstuk begane grond;Smeba;MF-60;Schuim;2011;;;a;;;
R13-2;Tussenstuk 1e verdieping;Saval;BSH 20 m;Water;1994;2013;34 l/min;a;;;
R17-1;Steenbeek begane grond;Saval;BSH 20 m;Water;1994;2013;36 l/min;a;;;
R19-1;Steenbeek 1e verdieping;Saval;BSH 20 m;Water;1994;2013;34 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
