;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;O.G. Helderingstichting;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Gebouwen TD - keuken;;Datum:;Week 2 2015;;;;;Blusdekens;;
Adres:;Wageningsestraat 104, Zetten;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
R42-1;Tuindienst;Smeba;MF-60;Schuim;2011;;;a;;;
R42-2;Opslagloods;Smeba;MF-60;Schuim;2010;;;a;*Blusstof vervangen;;
R44-1;Keuken;Smeba;MC-5a;CO2;2009;;;a;;;
R44-2;Keuken;Smeba;MF-60;Schuim;2010;;;a;;;
R44-3;Keuken;Smeba;MF-60;Schuim;2012;;;a;;;
R48-1;TD werkplaats;BCO;EFS 6;Schuim;2013;;;a;;;
R48-2;Kantine;Smeba;MF-60;Schuim;2010;;;a;;;
R46-1;In verfhok;BCO;EFS 6;Schuim;2013;;;a;;;
R46-2;Werkplaats;Smeba;MF-90;Schuim;2011;;;a;;;
Reserve 1;TD;BCO;EFS 6;Schuim;2014;;;a;;;
Reserve 2;TD;BCO;EFS 6;Schuim;2014;;;a;;;
Reserve 3;TD;BCO;EFS 6;Schuim;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
