;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;O.G. Helderingstichting;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Leygraaf;;Datum:;Week 3 2015;;;;;Blusdekens;;
Adres:;Wageningsestraat 104, Zetten;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
V33-1a;Adelaar 33;Smeba;MF-60;Schuim;2012;;;a;;;
V33-1;Adelaar 33;Ajax;BSH 20 m;Water;2005;2013;36 l/min;a;;;
V33-2;Adelaar 33;Ajax;BSH 20 m;Water;2005;2015;34 l/min;a;;;
V33-3;Adelaar 33 gang;Ajax;BSH 30 m;Water;2005;2015;32 l/min;a;;;
V31-1;Adelaar 31;Ajax;BSH 20 m;Water;2005;2015;36 l/min;a;;;
V31-2;Adelaar 31;Ajax;BSH 20 m;Water;2005;2015;34 l/min;a;;;
V33-31-1;Leygraaf 33/31;Smeba;MF-60;Schuim;2012;;;a;;;
V29-1a;Buizerd 29;Smeba;MF-60;Schuim;2010;;;a;;;
V29-1;Buizerd 29;Ajax;BSH 20 m;Water;2005;2015;34 l/min;a;;;
V29-2;Buizerd 29;Ajax;BSH 20 m;Water;2004;2015;32 l/min;a;;;
V29-3;Buizerd 29 gang;Ajax;BSH 30 m;Water;2005;2015;32 l/min;a;;;
V27-1;Buizerd 27;Ajax;BSH 20 m;Water;2005;2015;36 l/min;a;;;
V27-2;Buizerd 27;Ajax;BSH 20 m;Water;2005;2015;34 l/min;a;;;
V27-3;Leygraaf isoleer;Ajax;BSH 30 m;Water;2005;2015;32 l/min;a;;;
V27-3a;Leygraaf isoleer;Smeba;MF-60;Schuim;2010;;;a;;;
V25-1a;Buurskamp 25;Smeba;MF-60;Schuim;2011;;;a;;;
V25-1;Buurskamp 25;Ajax;BSH 20 m;Water;2005;2015;36 l/min;a;;;
V25-2;Buurskamp 25;Ajax;BSH 20 m;Water;2005;2015;34 l/min;a;;;
V25-3;Buurskamp 25 gang;Ajax;BSH 30 m;Water;2005;2015;34 l/min;a;;;
V23-1;Buurskamp 23;Ajax;BSH 20 m;Water;2004;2015;36 l/min;a;;;
V23-2;Buurskamp 23;Ajax;BSH 20 m;Water;2005;2015;34 l/min;a;;;
V21-1a;Prisma 21;Smeba;MF-60;Schuim;2011;;;a;;;
V21-1;Prisma 21;Ajax;BSH 20 m;Water;2005;2015;36 l/min;a;;;
V21-2;Prisma 21;Ajax;BSH 20 m;Water;2005;2015;34 l/min;a;;;
V21-3;Prisma 21 gang;Ajax;BSH 30 m;Water;2005;2015;34 l/min;a;;;
V19-1;Prisma 19;Ajax;BSH 20 m;Water;2005;2015;32 l/min;a;;;
V19-2;Prisma 19;Ajax;BSH 20 m;Water;2005;2015;30 l/min;a;;;
V19-3;Ketelhuis Prisma 19;Smeba;MF-60;Schuim;2010;;;a;;;
V23-21-1;Leygraaf;BCO;EFS 6;Schuim;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
