;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;O.G. Helderingstichting;;Naam monteur:;J. Nederkoorn ;;;;;Slangenhaspels-water;;
Locatie:;Linge boerderij;;Datum:;Week 3 2015;;;;;Blusdekens;;
Adres:;Wageningsestraat 104, Zetten;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
W114-1;Linge boerderij;Ajax;BSH 30 m;Water;2011;2011;40 l/min;a;;;
W114-2;Linge boerderij;Ajax;BSH 30 m;Water;2011;2011;28 l/min;a;;;
W114-3;Linge boerderij;Ajax;BSH 30 m;Water;2011;2011;26 l/min;a;;;
W114-4;Linge boerderij;Smeba;MF-60;Schuim;2008;;;a;;;
W114-5;Linge boerderij;Smeba;MF-60;Schuim;2008;;;a;;;
W114-6;Linge boerderij;B.C.O.;EFS 6;Schuim;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
