;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;O.G. Helderingstichting;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Vluchtheuvel kerk;;Datum:;Week 3 2015;;;;;Blusdekens;;
Adres:;Wageningsestraat 104, Zetten;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
V16-1;Vluchtheuvel kerk;Ajax;BSH 30 m;Water;2011;2011;40 l/min;a;;;
V16-2;Vluchtheuvel kerk;Smeba;MF-60;Schuim;2011;;;a;;;
V16-3;Vluchtheuvel kerk;Smeba;MF-60;Schuim;2011;;;a;;;
V20-1;Ambulatorium;Ajax;BSH 20 m;Water;2010;2013;36 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
