;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: Jordi Verhagen;;;;;;
Locatie: Concordialaan;;;Datum: Juni, 2015;;;;;;
Adres: Concordialaan Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang huisnr 13;Brandslanghaspel 1;EA;in kast;a;Ø22;CAP;
2;1e;Gang huisnr 13;Brandslanghaspel 2;EA;in ketelkast;a;Ø22;CAP;
3;BG;Hal huisnr 13;Buitenkraan;EA;in meterkast;a;Ø15;knel;
1;BG;Hal huisnr 77;Buitenkraan;EA;in meterkast;a;Ø15;knel;
2;BG;Gang huisnr 77;Brandslanghaspel 1;EA;in boilerkast;a;Ø22;knel;
3;1e verd.;Gang huisnr 77;Brandslanghaspel 2;EA;in ketelkast;a;Ø22;;
1;BG;Hal huisnr 43;Buitenkraan;EA;in meterkast;a;Ø15;knel;
2;BG;Gang huisnr 43;Brandslanghaspel 1;EA;in boilerkast;a;Ø22;CAP;
3;1e verd.;Gang huisnr 43;Brandslanghaspel 2;EA;in ketelkast;a;Ø22;CAP;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
