;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: Jordi Verhagen;;;;;;
Locatie: Dertien Loten;;;Datum: Juni, 2015;;;;;;
Adres: Dertien Loten 3-13 Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang bij 5;Brandslanghaspel 1;EA;onder BSH;a;Ø22;knel;
2;BG;Gang bij 11;Brandslanghaspel 2;EA;onder BSH;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
