;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: Jordi Verhagen;;;;;;
Locatie: Willem Hubertstraat 63;;;Datum: Juni, 2015;;;;;;
Adres: Willem Hubertstraat 63 Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Willem Hubertstraat 63;Buitenkraan;EA;in meterkast;a;Ø15;knel;
2;BG;Willem Hubertstraat 63;Brandslanghaspel;EA;in meterkast;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
