;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: BBS Nieuw-Zuid;;;Datum: 10-03-2015;;;;;;
Adres: Jac Van Looystraat 5, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;NME lokaal;Brandslanghaspel 1;EA;in kast achter BSH;a;Ø22;knel;
2;BG;NME lokaal;VV buitenkraan;RAM EA;in kast achter BSH;a;Ø15;knel;
3;BG;Hal hoofdingang;Brandslanghaspel 2;;;a;;;
4;BG;Achter ingang speelplaats;VV buitenkraan;RAM EA;in plafond gang;a;Ø22;knel;
5;BG;BS vlindertuin trappenhal;Brandslanghaspel 3;;;a;;;
6;BG;Gang kinderdagverblijf;Brandslanghaspel 4;;;a;;;
7;BG;BSO;VV buitenkraan;;;a;;;
8;1e verd.;Gang bij kleedruimte;Brandslanghaspel 5;;;a;;;
9;1e verd.;Hal bij trap;Brandslanghaspel 6;;;a;;;
10;1e verd.;BS de vlindertuin;Brandslanghaspel 7;;;a;;;
11;1e verd.;Gang k.c. de vlindertuin;Brandslanghaspel 8;;;a;;;
12;2e verd.;Gang naast lift;Brandslanghaspel 9;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
