;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Compostella;;;Datum: week 7 2015;;;;;;
Adres: Fransiscushof 1, Zeeland;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Pater Bergsma-zaal;Brandslanghapsel 1;;;a;;;
2;BG;In keuken;Brandslanghapsel 2;RAM EA;In kelder;a;Ø28;knel;
3;BG;Hal naast winkel;Brandslanghapsel 3;RAM EA;Onder BSH;a;Ø22;knel;
4;BG;Wasruimte PG;VV buitenkraan;RAM EA;In wasruimte;a;Ø15;knel;
5;BG;Technische ruimte PG;Buitenkraan;RAM EA;In TD ruimte;a;Ø15;knel;
6;BG;Technische ruimte PG;Brandslanghapsel 4;;;a;;;
7;BG;De huiskamer PG;Brandslanghapsel 4a;;;a;;;
8;BG;Gang PG bij 016;Brandslanghapsel 5;;;a;;;
9;BG;Gang PG bij 021;Brandslanghapsel 6;RAM EA;Onder kast;a;Ø22;knel;
10;1e verd.;Bij traphuis stilteruimte;Brandslanghapsel 7;;;a;;;
11;1e verd.;Gang bij personeelsruimte;Brandslanghapsel 8;;;a;;;
12;1e verd.;Gang bij lift;Brandslanghapsel 9;EA;Onder kast;a;Ø22;knel;
13;1e verd.;Gang bij kamer 105;Brandslanghapsel 10;;;a;;;
14;1e verd.;Gang bij kamer 116;Brandslanghapsel 11;EA;Onder kast;a;Ø22;knel;
15;1e verd.;Gang bij kamer 121;Brandslanghapsel 12;EA;Onder kast;a;Ø22;knel;
16;2e verd.;Gang bij lift 2e verd;Brandslanghapsel 13;EA;Onder kast;a;Ø28;knel;
17;2e verd.;Gang bij kamer 205;Brandslanghapsel 14;;;a;;;
18;2e verd.;Gang bij kamer 216;Brandslanghapsel 15;EA;Onder kast;a;Ø22;knel;
19;2e verd.;Gang bij kamer 221;Brandslanghapsel 16;EA;Onder kast;a;Ø22;knel;
20;2e verd.;Hal bij TD;Brandslanghapsel 17;EA;Onder kast;a;Ø22;knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
