;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: De Pastorie;;;Datum: week 9 2015;;;;;;
Adres: Kloosterstraat 4, Volkel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Hal bij lift;Brandslanghaspel 0-1;EA;;a;;;
2;B.G.;Achter keuken;Buitenkraan;EA;;a;;;
3;1e verd.;Gang bij toilet;Brandslanghaspel 1-1;EA;;a;;;
4;2e verd.;Hal overloop 2e verdieping;Brandslanghaspel 2-1;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
