;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Hostel;;;Datum: week 11 2015;;;;;;
Adres: Van Broekhovenlaan 2, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Meterkast;Brandslanghaspel centraal;EA;In meterkast;a;Ø42;Pers;
2;B.G.;Binnenplaats;Buitenkraan;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
