;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Kruisherenklooster;;;Datum: week 8 2015;;;;;;
Adres: Kerkstraat 2-44, Uden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;T.D. toiletten kapel;Brandslanghaspel Centraal;RAM EA;In technische ruimte;a;Ø28;Knel;
2;B.G.;Meterkast gas klooster;Brandslanghaspel Centraal;RAM EA;In meterkast gas;a;Ø28;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
