;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Litserborg;;;Week 11 2015;;;;;;
Adres: Litserstraat 2, Den Dungen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Keuken magazijn;Brandslanghaspel H1;;;;;;
2;B.G.;Restaurant;Brandslanghaspel H2;;;a;;;
3;B.G.;Gang bij de Wiel;Brandslanghaspel H3;;;a;;;
4;B.G.;Zaal 't Woud;Brandslanghaspel H4;RAM EA;onder kast BSH;a;Ø22;Knel;
5;B.G.;Gang bij kleedkamers;Brandslanghaspel H5;;;a;;;
6;B.G.;P.G. Huiskamer A;Brandslanghaspel H6;RAM EA;in plafond;a;Ø22;Knel;
7;B.G.;P.G. Huiskamer B;Brandslanghaspel H7;RAM EA;in plafond;a;Ø22;Knel;
8;B.G.;P.G. Huiskamer C;Brandslanghaspel H8;RAM EA;in plafond;a;Ø22;Knel;
9;B.G.;P.G. Huiskamer D;Brandslanghaspel H9;RAM EA;in plafond;a;Ø22;Knel;
;;;;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
