;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Nieuwehagen;;;Datum: week 9 2015;;;;;;
Adres: Gervenstraat 2 Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;parkeerkelder;Ingang parkeerkelder;Brandslanghaspel 1;;;a;;;
2;parkeerkelder;Parkeerkelder;Brandslanghaspel 2;EA;in magazijn keuken 019;a;Ø22;knel;
3;kelder;Gang bij lift;Brandslanghaspel 3;EA;tegen plafond boven BSH;a;Ø22;knel;
4;kelder;Gang bij wasserette;Brandslanghaspel 4;;;a;;;
5;kelder;Gang bij bergingen;Brandslanghaspel 5;EA;boven BSH;a;Ø22;knel;
6;BG;Gang PG huiskamer 1;Brandslanghaspel 6;;;a;;;
7;BG;Gang PG huiskamer 2;Brandslanghaspel 7;;;a;;;
8;BG;Gang PG huiskamer 3;Brandslanghaspel 8;;;a;;;
9;BG;Hal bij huiskamer 4;Brandslanghaspel 9;;;a;;;
10;BG;Gang naast lift;Brandslanghaspel 10;EA;in plafond;a;Ø28;knel;
11;BG;Restaurant bij receptie;Brandslanghaspel 11;;;a;;;
12;1e verd.;Gang bij kamer 1.57;Brandslanghaspel 12;;;a;;;
13;1e verd.;Gang bij kamer 1.49;Brandslanghaspel 13;;;a;;;
14;1e verd.;Gang bij kamer 1.36;Brandslanghaspel 14;;;a;;;
15;1e verd.;Gang bij zusterspost;Brandslanghaspel 15;;;a;;;
16;1e verd.;Hal bij lift;Brandslanghaspel 16;;;a;;;
17;2e verd.;Gang bij kamer 2.64;Brandslanghaspel 17;;;a;;;
18;2e verd.;Gang bij kamer 2.58;Brandslanghaspel 18;;;a;;;
19;2e verd.;Gang bij kamer 2.50;Brandslanghaspel 19;;;a;;;
20;2e verd.;Gang voor zusterspost;Brandslanghaspel 20;EA;in plafond boven BSH;a;;;
21;2e verd.;Gang bij rolstoeltoilet 2.18;Brandslanghaspel 21;EA;in plafond boven BSH;a;Ø22;knel;
22;2e verd.;Gang bij fysio;Brandslanghaspel 22;EA;in plafond;a;Ø22;knel;
23;3e verd.;Gang bij kamer 3.64;Brandslanghaspel 23;;;a;;;
24;3e verd.;Gang bij kamer 3.58;Brandslanghaspel 24;;;a;;;
25;3e verd.;Gang bij kamer 3.46;Brandslanghaspel 25;;;a;;;
26;3e verd.;Gang bij zusterspost;Brandslanghaspel 26;;;a;;;
27;3e verd.;Hal bij lift links;Brandslanghaspel 27;;;a;;;
28;3e verd.;Hal bij lift rechts;Brandslanghaspel 28;;;a;;;
29;BG;Binnentuin PG;Buitenkraan;;;a;;;
30;4e verd.;Ketelhuis dak;Buitenkraan;EA;in ketelhuis;a;Ø15;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
