;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Brabant Wonen;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Simeonshof;;;Week 6 2015;;;;;;
Adres: Simeonshof 1a, Erp;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
Villa A;;;;;;;;;
1;B.G.;Meterkast water;Brandslanghaspel centraal;RAM EA;In afsluiter kast;a;Ø35;Pers;
2;B.G.;Containerplaats;Buitenkraan;RAM EA;In plafond A.00.34;a;Ø15;Knel;
3;B.G.;Hoofdingang Gebouw A;Buitenkraan;RAM EA;In plafond bij brievenbus;a;Ø15;Knel;
4;B.G.;Terras bij restaurant;Buitenkraan;RAM EA;In plafond bij biljard;a;Ø15;Knel;
5;-1;Ketelhuis;Vulsysteem;B.A.;Ketelhuis;a;Ø15;Knel;
Villa B;;;;;;;;;
1;B.G.;Gang;Brandslanghaspel VB.H1;RAM EA;In kast BSH;a;Ø22;Knel;
2;1e verd.;Gang;Brandslanghaspel VB.H2;RAM EA;In kast BSH;a;Ø22;Knel;
3;2e verd.;Gang;Brandslanghaspel VB.H3;RAM EA;In kast BSH;a;Ø22;Knel;
Villa C;;;;;;;;;
1;B.G.;Gang;Brandslanghaspel VC.H1;RAM EA;In kast BSH;a;Ø22;Knel;
2;1e verd.;Gang;Brandslanghaspel VC.H2;RAM EA;In kast BSH;a;Ø22;Knel;
3;2e verd.;Gang;Brandslanghaspel VC.H3;RAM EA;In kast BSH;a;Ø22;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
