;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: J. Nederkoorn;;;;;;
Locatie: Sint Jan 1 en 2;;;Week 7 2015;;;;;;
Adres: Kerkstraat 80, Uden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;kelder;Kelder;Brandslanghaspel k-01;EA;tegen plafond;;Ø28;CAP;
2;kelder;Ketelhuis;CV vulkraan;EA;boven vulkraan;;Ø22;knel;
3;BG;Einde gang bij restaurant;Brandslanghaspel 0-01;;;;;;
4;BG;Gang bij kamer 0.02;Brandslanghaspel 0-03;;;;;;
5;BG;Gang bij kamer 0.20;Brandslanghaspel 0-04;;;;;;
6;BG;Gang bij kamer 0.23;Brandslanghaspel 0-05;;;;;;
7;BG;Gang bij kamer 0.09;Brandslanghaspel 0-06;;;;;;
8;BG;Gang bij kamer 0.14;Brandslanghaspel 0-07;;;;;;
9;BG;Hal PG bij fysio;Brandslanghaspel 0-08;;;;;;
10;BG;Gang PG bij 115;Brandslanghaspel 0-09;;;;;;
11;BG;Gang PG bij 133;Brandslanghaspel 0-10;;;;;;
12;BG;Gang PG bij De Tweesprong;Brandslanghaspel 0-11;;;;;;
13;BG;Gang PG bij 202;Brandslanghaspel 0-12;;;;;;
14;BG;Gang PG bij 219;Brandslanghaspel 0-13;;;;;;
15;5e  verd.;Hal naast lift;Brandslanghaspel 5-1;EA;onder BSH;;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
