;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Zonnelied;;;Datum: week 10 2015;;;;;;
Adres: Hogesteeg 2, Ammerzoden;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang t.o. 8 Wetering;Brandslanghaspel 0-1;;;a;;;
2;BG;Gang Wetering bij 18 kapsalon;Brandslanghaspel 0-2;;;a;;;
3;BG;Gang Wetering bij 24;Brandslanghaspel 0-3;;;a;;;
4;BG;Gang achter restaurant;Brandslanghaspel 0-4;;;a;;;
5;BG;Wagenstalling keuken;Brandslanghaspel 0-8;EA;onder BSH;a;Ø22;knel;
6;1e verd.;Gang kantoren bij schooltje 7;Brandslanghaspel 1-4;;;a;;;
7;BG;Gang bij wasserette;Brandslanghaspel 0-5;;;a;;;
8;BG;Gang passage;Brandslanghaspel 0-6;;;a;;;
9;BG;Gang passage;Brandslanghaspel 0-7;RAM EA;onder BSH;a;Ø28;knel;
10;1e;Gang lift Merwedehof;Brandslanghaspel 1-1;;;a;;;
11;1e;Gang Merwedehof;Brandslanghaspel 1-2;;;a;;;
12;1e;Gang Merwedehof;Brandslanghaspel 1-3;RAM EA;onder BSH;a;Ø28;knel;
13;BG;Gang lift receptie;Brandslanghaspel 5;RAM EA;in kast BSH;a;Ø22;knel;
14;BG;Gang woonkamer 31;Brandslanghaspel 6;;;a;;;
15;BG;Gang woonkamer 28;Brandslanghaspel 7;;;a;;;
16;BG;Gang PG Maasstraat;Brandslanghaspel 8;;;a;;;
17;BG;Gang PG Maasstraat;Brandslanghaspel 9;;;a;;;
18;BG;Gang woonkamer 13;Brandslanghaspel 10;;;a;;;
19;BG;Gang woonkamer 10;Brandslanghaspel 11;;;a;;;
20;1e verd.;Hal bij lift ingang;Brandslanghaspel 12;;;a;;;
21;1e verd.;Gang woonkamer 131;Brandslanghaspel 13;;;a;;;
22;1e verd.;Gang woonkamer 132;Brandslanghaspel 14;;;a;;;
23;1e verd.;Gang waalstraat;Brandslanghaspel 15;;;a;;;
24;1e verd.;Gang waalstraat;Brandslanghaspel 16;;;a;;;
25;1e verd.;Gang woonkamer 113;Brandslanghaspel 17;;;a;;;
26;1e verd.;Gang woonkamer 114;Brandslanghaspel 18;RAM EA;in kast BSH;a;Ø22;knel;
27;2e verd.;Hal bij lift;Brandslanghaspel 19;RAM EA;in kast BSH;a;Ø22;knel;
28;BG;Wagenstalling keuken;VV buitenkraan;;;a;;;
29;BG;t Kempke voordeur;Buitenkraan;RAM EA;in keukenkast;a;Ø15;knel;
30;2e verd.;Ketelhuis;Waterontharder;BA;in ketelhuis;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
