;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: De Heegt;;;Datum: week 16 2015;;;;;;
Adres: Veldstraat 1, Geffen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang bij kamer 11;Brandslanghaspel 01;EA;in kast BSH;a;Ø22;knel;
2;BG;Werkkast;buitenkraan vogelkooi;RAM EA;in werkkast;a;Ø15;knel;
3;BG;Hal bij receptie;Brandslanghaspel 02;;;a;;;
4;BG;Gang bij kamer 5;Brandslanghaspel 03;EA;in kast BSH;a;Ø22;knel;
5;BG;Gang bij kerk;Brandslanghaspel 04;EA;in kast BSH;a;Ø22;knel;
6;BG;Keuken bij steamer;Buitenkraan;EA;naast steamer;a;Ø15;knel;
7;1e verd.;Gang bij kamer 26;Brandslanghaspel 11;EA;in kast BSH;a;Ø22;knel;
8;1e verd.;Gang bij kamer 18;Brandslanghaspel 12;EA;in kast BSH;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
