;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Katwijk;;;Datum: Week 14 2015;;;;;;
Adres: Kruisstraat 55 Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Technische ruimte water;Centrale brandslanghaspel;EA;in technische ruimte;a;Ø35;Cap;
2;BG;Achter ingang;vv buitenkraan;EA;;a;Ø15;;
3;BG;Tuin bij restaurant;Buitenkraan;EA;in kruipruimte gang;×;Ø15;Knel;
4;BG;Hoofdingang;vv buitenkraan;EA;;a;Ø15;;
5;BG;Binnen tuin PG afdeling;vv buitenkraan;EA;;a;Ø15;;
6;BG;Technische ruimte water;Waterontharder;BA;Boven hydrofoor;a;Ø15;;
7;1e verd.;Huiskamer 6;Buitenkraan;RAM EA;In keukenkast;a;Ø15;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
