;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Brabant Wonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Laarstede;;;Week 14, 2015;;;;;;
Adres: Laar 40, Nistelrode;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;TD ruimte water;Centrale kk  BSH;RAM EA;boven hydrofoor;a;Ø28;knel;
2;BG;Afdeling dichterbij;VV buitenkraan;;;a;;;
3;BG;Ons stekkie dagbehandeling;VV buitenkraan;;;a;;;
4;BG;PG afd 17;VV buitenkraan;;;a;;;
5;BG;T.D. Ruimte;Waterontharder;BA;boven hydrofoor;×;5/4'';schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
