;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Loovelt;;;Datum: April 2015;;;;;;
Adres: Saturnusstraat 280 Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Hal bij receptie;Brandslanghaspel;;in kruipruimte;a;;;
2;BG;Toilet;Buitenkraan;EA;in herentoilet;a;Ø15;knel;
3;BG;Keuken;vv buitenkraan;EA;in kruipruimte;a;Ø15;knel;
4;1e verd.;Ketelhuis;cv vulkraan;RAM EA;naast boiler;a;Ø15;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
