;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Maashorst;;;Datum: 09-04-2015;;;;;;
Adres: Kerklaan 1, Megen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;keuken;Buitenkraan;EA;in keukenkast;a;Ø15;knel;
2;BG;hal bij keuken;Brandslanghapsel 0-1;;;a;;;
3;BG;gang bij kamer 3;Brandslanghapsel 0-2;;;a;;;
4;BG;gang bij kamer 9;Brandslanghapsel 0-3;;;a;;;
5;1e;hal bij lift 1e verd;Brandslanghapsel 1-1;;;a;;;
6;1e;gang bij kamer 17;Brandslanghapsel 1-2;;;a;;;
7;1e;gang bij kamer 23;Brandslanghapsel 1-3;;;a;;;
8;2e;hal bij lift 2e verd;Brandslanghapsel 2-1;;;a;;;
9;2e;gang bij kamer 33;Brandslanghapsel 2-2;;;a;;;
10;2e;gang bij kamer 39;Brandslanghapsel 2-3;;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
