;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur:  Jordi Verhagen;;;;;;
Locatie: Martinushuis;;;Datum: Okt. 2015;;;;;;
Adres: Kloosterstraat 3 Nuland;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;;Resultaat;;Montagegevens;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Vereiste beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF)
1;2e;Tech. Ruimte;BSH korte gang;EA;EA;;NEE;;
2;2e;Tech. Ruimte;BSH lange gang;EA;EA;;NEE;;
3;2e;Tech. Ruimte;KW WT huismeester;EA;EA;;JA;;
4;2e;Tech. Ruimte;WW Circulatie leiding;EA;EA;;;;
5;BG;Buitenkraan achterzijde;Gevelkraan;EA;EA;;JA;;
6;BG;Hoofdingang voorzijde;Gevelkraan;EA;EA;;JA;;
;;;;;;;;;
;4 - Niet juist aangesloten.;;;;;;;;
;;;;;;;;;
