;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Sterrebos;;;Datum: 12-05-2015;;;;;;
Adres: Sterrebos 62, Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang;Brandslanghaspel 0-1;;in kruipruimte;a;;;
2;BG;Gang;Brandslanghaspel 0-2;EA;achter in koker;a;;;
3;BG;Gang;Brandslanghaspel 0-3;EA;achter in koker;a;;;
4;BG;Gang;Brandslanghaspel 0-4;;achter in koker;a;;;
5;BG;Gang;Brandslanghaspel 0-5;;achter in koker;a;;;
6;BG;Gang;Brandslanghaspel 0-6;;achter in koker;a;;;
7;BG;Gang;Brandslanghaspel 0-7;RAM EA;tegen plafond;a;Ø28;knel;
8;1e verd.;Gang;Brandslanghaspel 1-1;EA;achter in koker;a;Ø28;cap;
9;1e verd.;Gang;Brandslanghaspel 1-2;;achter in koker;a;;;
10;1e verd.;Gang;Brandslanghaspel 1-3;;achter in koker;a;;;
11;1e verd.;Gang;Brandslanghaspel 1-4;;achter in koker;a;;;
12;1e verd.;Gang;Brandslanghaspel 1-5;;achter in koker;a;;;
13;1e verd.;Gang;Brandslanghaspel 1-6;;achter in koker;a;;;
14;2e verd.;Gang;Brandslanghaspel 2-1;EA;achter in koker;a;Ø28;cap;
15;2e verd.;Gang;Brandslanghaspel 2-2;EA;achter in koker;a;Ø28;cap;
16;2e verd.;Gang;Brandslanghaspel 2-3;EA;achter in koker;a;;;
17;2e verd.;Gang;Brandslanghaspel 2-4;EA;achter in koker;a;;;
18;2e verd.;Gang;Brandslanghaspel 2-5;EA;achter in koker;a;;;
19;2e verd.;Gang;Brandslanghaspel 2-6;EA;achter in koker;a;;;
20;3e verd.;Gang;Brandslanghaspel 3-1;EA;achter in koker;a;Ø28;cap;
21;3e verd.;Gang;Brandslanghaspel 3-2;EA;achter in koker;a;Ø28;cap;
22;3e verd.;Gang;Brandslanghaspel 3-3;EA;achter in koker;a;;;
23;3e verd.;Gang;Brandslanghaspel 3-4;EA;achter in koker;a;;;
24;3e verd.;Gang;Brandslanghaspel 3-5;EA;achter in koker;a;;;
25;3e verd.;Gang;Brandslanghaspel 3-6;EA;achter in koker;a;;;
26;4e verd.;Gang;Brandslanghaspel 4-1;EA;achter in koker;a;Ø28;cap;
27;4e verd.;Gang;Brandslanghaspel 4-2;EA;achter in koker;a;Ø28;cap;
28;4e verd.;Gang;Brandslanghaspel 4-3;EA;achter in koker;a;;;
29;4e verd.;Gang;Brandslanghaspel 4-4;EA;achter in koker;a;;;
30;4e verd.;Gang;Brandslanghaspel 4-5;EA;achter in koker;a;;;
31;5e verd.;Gang;Brandslanghaspel 5-1;EA;achter in koker;a;Ø28;cap;
32;5e verd.;Gang;Brandslanghaspel 5-2;EA;achter in koker;a;Ø28;cap;
33;6e verd.;Gang;Brandslanghaspel 6-1;EA;achter in koker;a;Ø28;cap;
34;6e verd.;Gang;Brandslanghaspel 6-2;EA;achter in koker;a;Ø28;cap;
35;7e verd.;Gang;Brandslanghaspel 7-1;EA;in kast BSH;a;Ø22;knel;
36;7e verd.;Gang;Brandslanghaspel 7-2;EA;achter in koker;a;Ø28;cap;
37;BG;Wasruimte;Buitenkraan;EA;tegen muur;a;Ø15;knel;
38;BG;Berging 74;Tapkraan;RAM EA;in berging 74;a;Ø15;knel;
39;BG;Ketelhuis SB1;Boiler;BA;in onderstation SB1;×;;;
40;BG;Onderstation SB2;Waterontharder;BA;in onderstation SB2;×;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
