;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Vredehof;;;Datum: Week 14 2015;;;;;;
Adres: Vredehof Oss;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang bij 315;Brandslanghaspel 001;;;a;;;
2;BG;Gang bij 309;Brandslanghaspel 002;;;a;;;
3;BG;Gang bij 305;Brandslanghaspel 003;;;a;;;
4;BG;Gang voor 207;Brandslanghaspel 004;;;a;;;
5;BG;Gang bij 211;Brandslanghaspel 005;;;a;;;
6;BG;Gang bij 217;Brandslanghaspel 006;;;a;;;
7;BG;Gang t.o. 115;Brandslanghaspel 007;;;a;;;
8;BG;Gang voorbij 113;Brandslanghaspel 008;RAM EA;onder BSH 008;a;Ø22;knel;
9;BG;Gang voorbij 113;Brandslanghaspel 117;RAM EA;naast BSH 008;a;Ø28;knel;
10;BG;Gang voorbij 109;Brandslanghaspel 009;;;a;;;
11;BG;Gang bij 105;Brandslanghaspel 010;;;a;;;
12;BG;Gang bij 105;Buitenkraan;RAM EA;in kast BSH;a;Ø15;knel;
13;BG;Bij kamer 205;Buitenkraan;EA;;a;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
