;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: BrabantWonen;;;Naam monteur: John Nederkoorn;;;;;;
Locatie: Maasland;;;Datum: 11-05-2015;;;;;;
Adres: St. Sebastianusstraat 5, Herpen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang bij kamer 10;Brandslanghaspel 01 en 11;;;a;;;
2;BG;Werkkast bij kapsalon;Buitenkraan 2x;EA;in werkkast;a;Ø15;knel;
3;BG;Gang bij kamer 2;Brandslanghaspel 02 en 12;;;a;;;
4;BG;Gang bij tuinkamer;Brandslanghaspel 03 en 13;;;a;;;
5;BG;Gang bij kamer 14;Brandslanghaspel 04 en 14;;;a;;;
6;BG;Gang bij kamer 20;Brandslanghaspel 05 en 15;;;a;;;
7;BG;Meterkast water;Waterontharder;BA;in water-meterkast;a;Ø35;schroef;
8;Zolder;Bergruimte werkplaats;Brandslanghaspel Z1;EA;boven BSH;a;Ø22;knel;
9;Zolder;Bergruimte ascom;Brandslanghaspel Z2;EA;onder BSH;a;Ø22;knel;
10;BG;Terras;Buitenkraan;RAM EA;in keukenkast tuinkamer;a;Ø15;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
