;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Casade;;;   Naam monteur: John Nederkoorn;;;;;;
Locatie: Koetshuis Schakelring;;;Datum: Week 29, 2015;;;;;;
Adres: Waalwijk;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;1e verd;Hal bij lift;Brandslanghaspel 1-1;EA;in plafond;a;Ø22;knel;
2;1e verd;AFD Linde voor;Brandslanghaspel 1-2;EA;in plafond;a;Ø22;knel;
3;1e verd;Huiskamer Linde;Brandslanghaspel 1-3;EA;in plafond;a;Ø22;knel;
4;1e verd;Gang Linde achter;Brandslanghaspel 1-4;EA;onbekend;a;Ø22;knel;
5;1e verd;1.113 linde;Wasmachine;EA;Aan wm kraan;a;3/4;schroef;
6;1e verd;Gang voor sprokkel;Brandslanghaspel 1-5;EA;in plafond;a;Ø22;knel;
7;1e verd;Huiskamer sprokkel;Brandslanghaspel 1-6;EA;onbekend;a;Ø22;knel;
8;1e verd;Gang achter sprokkel;Brandslanghaspel 1-7;EA;in plafond;a;Ø22;knel;
9;1e verd;1.213 spokkel;Wasmachine;EA;Aan wm kraan;a;3/4;schroef;
10;2e verd;Hal bij lift;Brandslanghaspel 2-1;EA;in plafond knotwilg;a;Ø22;knel;
11;2e verd;Gang voor knotwilg;Brandslanghaspel 2-2;EA;in plafond knotwilg;a;Ø22;knel;
12;2e verd;Huiskamer knotwilg;Brandslanghaspel 2-3;EA;in plafond;a;Ø22;knel;
13;2e verd;Gang achter knotwilg;Brandslanghaspel 2-4;EA;in plafond;a;Ø22;knel;
14;2e verd;2.313 knotwilg;Wasmachine;EA;Aan wm kraan;a;3/4;schroef;
15;2e verd;Gang voor magnolia;Brandslanghaspel 2-5;EA;in plafond;a;Ø22;knel;
16;2e verd;Huiskamer magnolia;Brandslanghaspel 2-6;EA;in plafond;a;Ø22;knel;
17;2e verd;Gang achter magnolia;Brandslanghaspel 2-7;EA;in plafond;a;Ø22;knel;
18;2e verd;2.413 Magnolia;Wasmachine;EA;Aan wm kraan;a;3/4;schroef;
19;2e verd;Gang voor meidoorn;Brandslanghaspel;EA;in plafond;a;Ø22;knel;
20;2e verd;Huiskamer meidoorn;Brandslanghaspel;EA;in plafond;a;Ø22;knel;
21;2e verd;Gang achter meidoorn;Brandslanghaspel;EA;in plafond;a;Ø22;knel;
22;2e verd;2.513 meidoorn;Wasmachine;EA;Aan wm kraan;a;3/4;schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
