;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Casade;;;   Naam monteur: John Nederkoorn;;;;;;
Locatie: Logeerhuis;;;Datum: 20-08-2014;;;;;;
Adres: Grote straat 415 Waalwijk;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Woonkamer;Buitenkraan;;;a;Ø15;;
2;1e verd.;Ketelhuis;Combi ketel;Inlaatcombi;Ketelhuis ;a;Ø15;Knel;
3;1e verd.;Ketelhuis;CV Vulkraan;EA;Aan kraan;a;3/4;Schroef;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
