;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Casade;;;   Naam monteur: John Nederkoorn;;;;;;
Locatie: Magnoliastraat Kaatsheuvel;;;Datum: 27-08-2015;;;;;;
Adres: Magnoliastraat;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Meterkast;Centrale keerklep BSH;EA;onder watermeter;a;Ø22;knel;
2;BG;Berging;Wasmachine;EA;Aan Kraan;a;3/4'';schroef;
3;BG;Keuken blauw;Vaatwasser;EA;in keukenkast;a;3/4";schroef;
4;BG;Keuken geel;Vaatwasser;EA;in keukenkast;a;3/4";schroef;
5;BG;Berging;Wasmachine;EA;Aan Kraan;a;3/4'';schroef;
6;BG;Berging;Wasmachine;EA;Aan Kraan;a;3/4'';schroef;
7;BG;Keuken rood;Vaatwasser;EA;in keukenkast;a;3/4";schroef;
8;BG;Douche blauw;Spoelautomaat kw;EA;in kast;×;Ø22;knel;
9;BG;Douche blauw;Spoelautomaat ww;EA;in kast;a;Ø22;knel;
10;BG;Douche geel;Spoelautomaat kw;EA;in kast;a;Ø22;knel;
11;BG;Douche geel;Spoelautomaat ww;EA;in kast;a;Ø22;knel;
12;BG;Douche rood;Spoelautomaat kw;EA;in kast;a;Ø22;knel;
13;BG;Douche rood;Spoelautomaat ww;EA;in kast;a;Ø22;knel;
14;BG;Berging Rood;Mengventiel;RAM EA;Achter droger;a;Ø15;Knel;
15;BG;Hal Ingang;Buitenkraan;EA;In Meterput;a;Ø22;Knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
