;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Casade;;;   Naam monteur: John Nederkoorn;;;;;;
Locatie: Reinier v Arkel;;;Datum: Week 35, 2015;;;;;;
Adres: Grote straat 68-70 Drunen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Wasruimte ketel;Wasmachine links;EA;Achter wasmachine;a;3/4;schroef;
2;B.G.;Wasruimte ketel;Wasmachine rechts;EA;Achter wasmachine;a;3/4;schroef;
3;B.G.;Hal onder trap;Brandslanghaspel;EA;Onder BSH;a;Ø22;knel;
4;B.G.;Meterkast;Brandslanghaspels;RAM EA;In meterkast;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
