;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: Nr. 1302200;;;Week 6 2015;;;;;;
Adres: Dotterbloem 4, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Koffiekamer;Koffie-apparaat;EA;Rechts van koffieapparaat;a;Ø15;Knel;
2;B.G.;Gang bij hal;Brandslanghaspel;;;a;;;
3;B.G.;Gang achter;Brandslanghaspel;;;a;;;
4;B.G.;Ketelhok buiten;Watermeter;EA;;a;;;
5;B.G.;Ketelhok buiten;Tandartsstoel;BA;;a;Ø15;Knel;
6;B.G.;Ketelhok buiten;Circulatieleiding;EA;;a;Ø22;Knel;
7;B.G.;Ketelhok buiten;Vulkraan;CA;;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
