;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: Nr. 1632000;;;Week 6 2015;;;;;;
Adres: Eikenpage 3-5, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Ketelhok;Circulatieleiding;EA;Grote boiler;a;Ø22;Knel;
2;B.G.;Ketelhok;Circulatieleiding;EA;Kleine boiler;a;Ø15;Knel;
3;B.G.;Ketelhok;Vulkraan;EA;Plafond;a;Ø15;Knel;
4;B.G.;Ketelhok;Watermeter;EA;;a;Ø28;Knel;
5;B.G.;Ketelhok;Inlaatcombinatie;EA;Grote boiler;a;Ø22;Knel;
6;B.G.;Ketelhok;Toevoer kw-watermeter;EA;Plafond;a;Ø15;Knel;
7;B.G.;Ketelhok;Toevoer ww-watermeter;EA;Plafond;a;Ø15;Knel;
8;B.G.;Eikenpage 5;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
9;B.G.;Eikenpage 5;Buitenkraan;EA;Plafond boven deur;a;Ø15;Knel;
10;B.G.;Eikenpage 3;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
11;B.G.;Eikenpage 3;Buitenkraan;EA;Plafond boven deur;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
