;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant:  Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: nr. 1631500;;;Week 6 2015;;;;;;
Adres: Koningsvaren 1 - 5, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;Ketelhok;Watermeter koudwater;EA;Plafond;a;Ø15;Knel;
2;;Ketelhok;Watermeter warmwater;EA;Plafond;a;Ø15;Knel;
3;;Ketelhok;Toevoer koudwater;EA;;a;Ø28;Knel;
4;;Ketelhok;Circulatie leiding;EA;Kleine boiler;a;Ø15;Knel;
5;;Ketelhok;Circulatie leiding;EA;Grote boiler;a;Ø22;Knel;
6;;Ketelhok;Vulkraan;EA;Plafond;a;Ø15;Knijp;
7;;Ketelhok;Inlaatcombinatie;EA;Bij boiler;a;Ø22;Knel;
8;;Koningsvaren 1;Buitenkraan;EA;Plafond boven haldeur;a;Ø15;Knel;
9;;Koningsvaren 1;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
10;;Koningsvaren 5;Buitenkraan;EA;Plafond boven tafel;a;Ø15;Knel;
11;;Koningsvaren 5;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
