;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: Nr. 1301200 werkplaats tuin;;;Week 9 2015;;;;;;
Adres: Spechtenpad 2, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Garagebox 2;Brandslanghaspel;EA;Onder haspel;a;Ø28;Knel;
2;B.G.;Garagebox 2;Toevoer koudwater;EA;In put;a;Ø15;Knel;
3;B.G.;Garagebox 2;Toevoer koudwater;EA;In put;a;Ø28;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
