;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: Nr. 1301100;;;Week 9 2015;;;;;;
Adres: Vliertwijksestraat 44/a, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
Vliertwijksestraat 44a;;;;;;;;;
1;B.G.;Gang;Brandslanghaspels;;;a;;;
2;1e verd.;Ketelhok;Circulatieleiding;EA;;a;Ø15;Knel;
3;1e verd.;Ketelhok;Inlaatcombinatie;EA;;a;Ø22;Knel;
Vliertwijksestraat 44;;;;;;;;;
4;1e verd.;Ketelhok;Circulatieleiding;EA;;a;Ø15;Knel;
5;1e verd.;Ketelhok;Inlaatcombinatie;;;a;;;
6;B.G.;Buiten achter;Buitenkraan;;;a;;;
7;B.G.;Gang;Brandslanghaspels;;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
