;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: Nr. 1304300;;;Week 9 2015;;;;;;
Adres: Waterkant 16, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Meterkast;Toevoer koudwater;EA;Meterkast;a;Ø28;Cap;
2;B.G.;Meterkast;Toevoer watermeter;EA;Meterkast;a;Ø28;Knel;
3;B.G.;Berghok zijkant gebouw;Boiler;EA;Berghok;a;Ø15;Knel;
4;B.G.;Keuken zijkant gebouw;Brandslanghapsel;EA;2e wc rechts in plafond;a;Ø22;Knel;
5;B.G.;Keuken zijkant gebouw;Buitenkraan;EA;In keukenkast;a;Ø15;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
