;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant:  Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: Nr. 1631400;;;Week 6 2015;;;;;;
Adres: Waterleidingstraat 2c/2d, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;Ketelhok;Watermeter;EA;;a;;;
2;;Ketelhok;Watermeter koudwater;EA;Plafond;a;Ø15;Knel;
3;;Ketelhok;Watermeter warmwater;EA;Plafon;a;Ø15;Knel;
4;;Ketelhok;Wasbak koudwater;EA;Plafond;a;Ø15;Knel;
5;;Ketelhok;Wasbak warmwater;EA;Plafond;a;Ø15;Knel;
6;;Ketelhok;Vulkraan;EA;Plafond;a;Ø15;Knel;
7;;Ketelhok;Toevoer koudwater;EA;Plafond;a;Ø22;Knel;
8;;Ketelhok;Inlaatcombinatie;EA;;a;Ø22;Knel;
9;;Ketelhok;Circulatie leiding;EA;Groter boiler;a;Ø15;Knel;
10;;Ketelhok;Circulatie leiding;EA;Kleine boiler;a;Ø22;Knel;
11;;Gang rechts;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
12;;Keuken rechts;Buitenkraan;EA;Boven keukenplafond;a;Ø15;Knel;
13;;Woonkamer links;Buitenkraan;EA;Boven eettafel plafond;a;Ø15;Knel;
14;;Gang links;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
