;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant:  Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: nr. 1631600;;;Week 6 2015;;;;;;
Adres: Zandkant 3 en Zandoogpad 2, Rosmalen;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;;Ketelhok;Circulatie leiding;EA;Kleine boiler;a;Ø15;Knel;
2;;Ketelhok;Circulatie leiding;EA;Grote boiler;a;Ø15;Knel;
3;;Ketelhok;Inlaat-combi;EA;;a;Ø22;Knel;
4;;Ketelhok;Vulkraan;EA;;a;Ø15;Knel;
5;;Ketelhok;Water toevoer;EA;Bij waterontharder;a;Ø28;Knel;
6;;Zandoogpad 2 keuken;Buitenkraan;EA;Plafond keuken;a;Ø15;Knijp;
7;;Zandoogpad 2 gang;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
8;;Zandkant 3 keuken;Buitenkraan;EA;Plafond boven aanrecht;a;Ø15;Knel;
9;;Zandkant 3 gang;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
