;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: M. Gutte;;;;;;
Locatie: Zandoogpad 5: 1305100;;;Week 7 2015;;;;;;
Waterkant 22: 1305100;;;;;;;;;
Waterkant 20: 1305000;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;B.G.;Zandoogpad 5;Brandslanghaspel;;;a;;;
2;B.G.;Keuken rechts;Brandslanghaspel;;;a;;;
3;B.G.;Buiten bij voordeur nr. 5;Buitenkraan;;;a;;;
4;B.G.;Ketelhok;Watermeter;EA;;a;Ø28;Knel;
5;B.G.;Ketelhok;Inlaatcombinatie;EA;Grote boiler;a;Ø22;Knel;
6;B.G.;Ketelhok;Circulatieleiding;EA;Grote boiler;a;Ø22;Knel;
7;B.G.;Ketelhok;Circulatieleiding;EA;Kleine boiler;a;Ø15;Knel;
8;B.G.;Ketelhok;Vulkraan;EA;Plafond;a;Ø15;Knel;
9;B.G.;Ketelhok;Wasbak koudwater;EA;Plafond;a;Ø15;Knel;
10;B.G.;Ketelhok;Wasbak warmwater;EA;Plafond;a;Ø15;Knel;
11;B.G.;Ketelhok;Wasmachine koudwater;EA;Plafond;a;Ø15;Knel;
12;B.G.;Ketelhok;Wasmachine warmwater;EA;Plafond;a;Ø9;Knel;
13;B.G.;Gang bij 0.62;Brandslanghaspel;EA;Plafond;a;Ø28;Knel;
14;B.G.;Klein keuken;Buitenkraan;EA;Plafond;a;Ø15;Knel;
15;B.G.;Einde gang bij 0.00;Brandslanghaspel;EA;Plafond;a;Ø22;Knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
