;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Haaren;;;Week 10 2015;;;;;;
Adres: Klaver 4;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Dagbesteding;Brandslanghaspel;EA;in plafond;a;Ø28;knel;
2;-1;TD zwembad;Oogdouche;EA;aan plafond;a;Ø15;knel;
3;-1;TD zwembad;Koudwaterleiding;EA;aan plafond;a;Ø15;knel;
4;BG;Gang bij washok;Brandslanghaspel;EA;aan plafond;a;Ø28;knel;
5;BG;Washok;Wasmachinekraan kw;EA;;a;3/4;schroef;
6;BG;Gang bij behandelkamer;Brandslanghaspel;EA;in plafond;a;Ø28;knel;
7;1e verd.;Overloop;Brandslanghaspel;EA;in ketelhok;a;Ø28;knel;
8;1e verd.;Ketelhok;Brandslanghaspel;EA;aan plafond;a;Ø28;knel;
9;1e verd.;Ketelhok;Toevoer kw vulkraan;EA;;a;Ø15;knel;
10;BG;Intensieve dagbesteding;Brandslanghaspel;EA;aan plafond;a;Ø28;knel;
11;BG;Ingang hal;Brandslanghaspel;EA;aan plafond;a;Ø28;cap;
12;BG;Koffiehoek;Brandslanghaspel;EA;aan plafond;a;Ø28;knel;
13;1e verd.;Koffiehoek;Brandslanghaspel;EA;aan plafond;a;Ø22;knel;
14;2e verd.;Zolder bij ketel;Brandslanghaspel;EA;aan plafond;a;Ø22;knel;
15;BG;Binnentuintje;Buitenkraan;;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
