;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Haaren;;;Week 10 2015;;;;;;
Adres: Klaver 6 en 8;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang;Brandslanghaspel;EA;in plafond;a;Ø28;knel;
2;BG;Keuken;Vaatwasser;EA;in kast;a;3/4;schroef;
3;BG;Washok links;Wasmachinekraan kw;EA;achter wm;a;3/4;schroef;
4;BG;Washok links;Wasmachinekraan ww;EA;achter wm;a;3/4;schroef;
5;BG;Washok rechts;Wasmachinekraan kw;EA;achter wm;a;3/4;schroef;
6;BG;Washok rechts;Wasmachinekraan ww;EA;achter wm;a;3/4;schroef;
7;BG;Keuken;Vaatwasser;EA;in kast;a;3/4;schroef;
8;BG;Gang;Brandslanghaspel;EA;in plafond;a;Ø28;knel;
9;BG;Ketelhok;Buitenkraan;EA;boven luchtkanaal;a;Ø15;knel;
10;BG;Ketelhok;Toevoer kw;EA;boven computerkast;a;Ø22;knel;
11;BG;Ketelhok;Toevoer ww slaapkamers;EA;boven luchtkanaal;a;Ø15;knel;
12;BG;Ketelhok;Circulatie ww;EA;tegen boiler;a;Ø15;knel;
13;BG;Ketelhok;Circulatie ww;EA;tegen boiler;a;Ø15;knel;
14;BG;Ketelhok;Warmwaterleiding;EA;achter boiler;a;Ø22;knel;
15;BG;Ketelhok;Inlaatcombinatie;EA;;a;Ø22;knel;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
