;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: Haaren;;;Welkom 10 2015;;;;;;
Adres: Kruisakker 1 en 3;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Buiten;Buitenkraan;;;JA;;;
2;BG;Washok;Wasmachinekraan kw;EA;;JA;3/4;schroef;
3;BG;Washok;Wasmachinekraan ww;EA;achter wasmachine;JA;3/4;schroef;
4;BG;Washok;Wasmachinekraan kw;EA;achter wasmachine;JA;3/4;schroef;
5;BG;Washok;Wasmachinekraan ww;EA;achter wasmachine;JA;3/4;schroef;
6;BG;Washok;Wasmachinekraan kw;EA;achter wasmachine;JA;3/4;schroef;
7;BG;Gang;Brandslanghaspel;EA;in plafond;JA;Ø22;knel;
8;BG;Keuken / woonkamer;Vaatwasser;EA;;JA;3/4;schroef;
9;BG;Ketelhok;Circulatie ww;EA;;JA;Ø22;knel;
10;BG;Ketelhok;Circulatie ww;EA;;JA;Ø22;knel;
11;BG;Gang;Brandslanghaspel;EA;in plafond;JA;Ø22;knel;
12;BG;Ketelhok;Inlaatcombinatie;EA;;JA;Ø22;knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
