;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 13 2015;;;;;;
Adres: Adrianastraat 20 t/m 28, Boxtel;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
1;BG;Gang hal nr. 24;Brandslanghaspel;EA;In waterput;a;Ø22;knel;
2;BG;Gang hal nr. 24;Buitenkraan;EA;In waterput;a;Ø15;knel;
3;BG;Gang hal nr. 20;Brandslanghaspel;EA;In waterput;a;Ø22;knel;
4;BG;Woonkamer voor;Buitenkraan;;In waterput;a;Ø15;knel;
5;1e verd.;Gang nummer 24;Brandslanghaspel;EA;Onder haspel;a;Ø22;knel;
6;2e verd.;Overloop nr. 24;Brandslanghaspel;EA;Naast ketel;a;Ø15;knel;
6;2e verd.;Overloop nr. 20;Brandslanghaspel;EA;Naast BSH;a;1/2;schroef;
7;BG;Buiten;Buitenkraan;EA;In keukenkast;a;Ø15;knel;
8;1e verd.;Overloop;Brandslanghaspel;EA;Onder haspel;a;Ø22;knel;
9;BG;Buiten;Buitenkraan;EA;In keukenkast;a;Ø15;knel;
10;1e verd.;Overloop;Brandslanghaspel;;;a;;;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
