;;;Onderhoudsrapport;;;;;;
;;;;;;;;;
;;;BCO Brandpreventie;;;;;;
;;;Galliershof 22;;;;;;
;;;5349 BV Oss;;;;;;
;;;;;;;;;
Klant: Cello;;;Naam monteur: Marty Gutte;;;;;;
Locatie: -;;;Week 12 2015;;;;;;
Adres: Brugmanstraat 12-14, Den Bosch;;;;;;;;;
;;;;;;;;;
Locatiegegevens;;;;Beveiliging;Resultaat;;Montagegevens;;
Nr.;Etage;Ruimte;Toestel;Huidige beveiliging;Plaats beveiliging;Drukvast;Diameter;Soort fitting (CAP/KNEL/SCHROEF);
Woning nr. 12;;;;;;;;;
1;BG;Buiten achter;Buitenkraan;;;a;;;
2;BG;Hal bij achter deur;Brandslanghaspel;;;a;;;
3;1e verd.;Gang;Brandslanghaspel;EA;In BSH kast;a;Ø22;knel;
4;1e verd.;Ketelhuis;Inlaatcombinatie;EA;;a;Ø15;knel;
5;1e verd.;Ketelhuis;Circulatieleiding;EA;;a;Ø15;knel;
Woning nr. 14;;;;;;;;;
6;BG;Buiten achter;Buitenkraan;;;a;;;
7;BG;Hal bij achter deur;Brandslanghaspel;;;a;;;
8;1e verd.;Gang;Brandslanghaspel;EA;In BSH kast;a;Ø22;knel;
9;1e verd.;Ketelhok;Inlaatcombinatie;EA;;a;Ø15;knel;
10;1e verd.;Ketelhok;Circulatieleiding;EA;;;Ø15;knel;
11;BG;Hal meterkast;Buitenkraan;EA;Meterkast;a;Ø15;knel;
;;;;;;;;;
Keerklep:;;Opmerking:;;;;;;;
;;;;;;;;;
